icnrtname,applydate,genwaste,bizgenwaste,icnrtproqt,btmdustqt,flyashsoldqt,eqeffgasacqt,acteleqt,actseqt,actsep,seincome,oprthour,nooprthour,dsnprcqt,dustlandfillqt,brheat,applyno
臺南市城西垃圾焚化廠,200304,14902.8,2920.87,19982,2740.98,733.62,5682.86,9144.48,7046.4,77.056,8512.278,1399,41,900,0,0.000,wepd3244
新北市樹林垃圾焚化廠,200303,30670.59,0,33807,4744.33,746.94,10953,15481.1,12790.38,82.619,15558.14,2192,40,1350,0,0.000,WEPF0759
屏東縣崁頂垃圾資源回收(焚化)廠,200303,16769.9,2538.42,19886.97,2947.15,1026.22,19122.73,8956.8,6586.4,73.535,8491.2,1488,0,900,1492.97,0.000,wept5929
桃園市垃圾焚化廠,200303,34280.16,4595.49,41028,7886.81,1993.6,21810,23937.5,21045.4,87.918,27915,1424,64,1350,0,0.000,weph4335
臺北市政府環境保護局內湖垃圾焚化廠,200305,17021.14,4724.93,14723,1964.84,348.348,13455.8,3140.77,1425.28,45.38,1590,1868,364,900,2180.32,0.000,wepa4244
高雄市仁武垃圾資源回收(焚化)廠,200304,19228.8,13489.15,12014,2402.81,480.56,4430,5991.9,4625.2,77.19,0,780,1380,1350,8145.28,0.000,weps2225
彰化縣溪州垃圾焚化廠,200304,21806.43,1997.9,26592,3770.62,1524.79,13073,12850,10003.9,77.851,12930.88,1440,0,900,5986.36,0.000,wepn3259
臺中市后里資源回收廠,200304,17881.74,4803.04,24262,4367.27,1213.13,9575.87,13353.7,10952.2,82.016,14167.42,1347,93,900,9585.02,0.000,wepl9232
嘉義縣鹿草垃圾焚化廠,200304,13490.51,6598.59,27236,4507.2,1173.04,6364,14920.2,12417.2,83.224,0,1440,0,900,0,0.000,WEPQ7513
臺中市后里資源回收廠,200303,17813.58,7036.48,25471,4584.76,1273.54,10429.04,14567.2,12023.4,82.537,12639.18,1396,92,900,4861.13,0.000,wepl9232
臺北市政府環境保護局北投垃圾焚化廠,200303,22971.54,4423.13,26741,3398.62,785.65,8243,10081,6528,64.755,7043.52,1572,1404,1800,4025.17,0.000,wepa4427
彰化縣溪州垃圾焚化廠,200303,12907.53,1410.58,7766,1110.97,308.9,3578,3836.1,2914.1,75.965,2231.816,414,1083,900,772.64,0.000,wepn3259
新北市八里垃圾焚化廠,200303,43087.46,0,43290,6689.23,1213.94,13920,20705.51,16830.6,81.285,19979.45,2130,102,1350,0,0.000,WEPF2314
新北市新店垃圾焚化廠,200303,22215.59,0,22636,3459.53,454.46,7437,10798.9,8521.9,78.914,10126,1488,0,900,0,0.000,WEPF0537
臺中市文山垃圾焚化廠,200303,15674.16,1371.19,14478,2155.66,661.4,7559.97,5381.41,3871.47,71.941,4042.207,1546,686,900,2367.14,0.000,wepb2401
新北市八里垃圾焚化廠,200307,34793.86,0,37584,5995.5,1082,11276,15940.12,12249.74,76.848,18181.87,2232,0,1350,2656.21,0.000,WEPF2314
臺北市政府環境保護局木柵垃圾焚化廠,200306,15447.87,4863.43,23401,2503.11,496.7,51.29,6565.1,3544.77,53.994,5907.865,2076,804,1500,2928.8,0.000,wepa4059
新北市八里垃圾焚化廠,200306,30725.38,0,36268,4798.18,1063.9,10880,14953.51,11408.29,76.291,16092.21,2144,16,1350,2871.58,0.000,WEPF2314
新竹市垃圾資源回收廠,200306,15044.31,9017.76,23912,3814.98,1224.77,12241.37,12473.92,10641.6,85.31,15637.07,1440,0,900,3642.11,0.000,wepo1732
高雄市岡山垃圾資源回收(焚化)廠,200306,23179.02,15947.28,37981,7596.07,1899.02,14685.8,20227,16338.7,80.776,16338.7,2155,5,1350,8791.84,0.000,weps1656
臺中市文山垃圾焚化廠,200306,20536.35,2034.6,19848,2346.46,964.84,10592.69,8215.66,6289.17,76.551,9501.51,2104,56,900,2990.7,0.000,wepb2401
臺中市后里資源回收廠,200306,19323.94,7101.61,25521,4083.41,1148.46,8305.5,14671.8,12004.9,81.823,18279.99,1393,47,900,4596.66,0.000,wepl9232
高雄市政府環境保護局南區資源回收廠,200306,19446.55,16891,37396,5678.78,2020.63,22000,16219.24,12870.4,79.352,21591.29,2160,720,1800,8010.37,0.000,wepe5641
高雄市政府環境保護局中區資源回收廠,200302,16417.33,0,15724,1848.99,466,7150,5310.7,3137.48,59.078,4125.335,1243,773,900,0,0.000,wepe5004
高雄市政府環境保護局中區資源回收廠,200305,13995.4,0,9480,1470.4,270,3080,0,0,0,0,671,1561,900,588.14,0.000,wepe5004
新北市樹林垃圾焚化廠,200302,26255.15,0,30143,4571.81,683.3,9833,14192.8,11779.58,82.996,13429.53,1976,40,1350,0,0.000,WEPF0759
臺北市政府環境保護局木柵垃圾焚化廠,200305,25151.96,6937.99,24682,2532.35,474,6.37,6884.9,4028.98,58.519,4348.727,2184,792,1500,0,0.000,wepa4059
臺北市政府環境保護局北投垃圾焚化廠,200305,8461.48,419.9,5217,850.74,240.77,1835,1871,1146,61.25,1439.956,257,2719,1800,951.43,0.000,wepa4427
新北市八里垃圾焚化廠,200305,30888.89,0,23412,4482.03,738.87,7023,10087.92,7683.08,76.161,9437.053,1274,958,1350,1054.94,0.000,WEPF2314
嘉義市垃圾焚化廠,200305,7759.2,0,7623,902,191.607,1760,1806,1179,65.282,1351.841,1488,0,300,639.5,0.000,wepi2617
臺南市城西垃圾焚化廠,200305,9046.9,1902.62,12589,2355.4,390.94,3580.36,5748.72,4392.24,76.403,4720.34,859,629,900,867.16,0.000,wepd3244
嘉義縣鹿草垃圾焚化廠,200305,14144.34,8402.02,22242,3666.64,729.44,5278,12507.4,10150.8,81.158,0,1195,293,900,0,0.000,WEPQ7513
新北市新店垃圾焚化廠,200305,22877.65,0,22383,3475.39,478.24,7188,10104.3,7912.9,78.312,9146.697,1432,56,900,0,0.000,wepf0537
屏東縣崁頂垃圾資源回收(焚化)廠,200304,18056.78,3390.46,20601.46,2802.96,902.23,16977.5,8704.7,6253,71.834,6678.2,1440,0,900,7300.38,0.000,wept5929
高雄市岡山垃圾資源回收(焚化)廠,200304,22052.98,10228.89,24360,4872,1218,9541.8,12457.5,9794.3,78.621,9794.3,1383,777,1350,11706.88,0.000,weps1656
桃園市垃圾焚化廠,200304,22895.85,4890.77,24601,4393.95,1244.45,13010,10619.4,8987.1,84.629,10152,865,575,1350,0,0.000,weph4335
臺中市文山垃圾焚化廠,200301,22532.36,1038.71,19218,2638.18,923.14,11388.01,8575.85,6691.33,78.025,7662.61,2135,97,900,5070.34,0.000,wepb2401
嘉義縣鹿草垃圾焚化廠,200301,12827.9,4728.45,26562,4535.38,1096.81,6385,15580.8,13374.5,85.839,0,1488,0,900,0,0.000,WEPq7513
新北市八里垃圾焚化廠,200304,49211.81,0,40923,6359.48,1257.52,13131,18602.65,14825.44,79.695,16887.86,2154,6,1350,0,0.000,WEPF2314
臺中市文山垃圾焚化廠,200304,21157.76,2055.38,20714,2746.82,974.52,10849.76,8469.35,6583.77,77.736,7796.721,2160,0,900,6702.16,0.000,wepb2401
新北市新店垃圾焚化廠,200304,18987.09,0,14041,2086.39,190.7,4457,5719.2,4289.5,75.001,5306.826,884,556,900,0,0.000,wepf0537
高雄市政府環境保護局南區資源回收廠,200304,23743,16554,31416,5524.2,1057.097,13420,13915.92,9206.4,66.157,12028.91,1818,1062,1800,0,0.000,wepe5641
臺北市政府環境保護局北投垃圾焚化廠,200304,21089.68,4201.71,24947,3707.93,468.08,7975,9568.8,6137.48,64.14,8368.653,1440,1440,1800,7634.48,0.000,wepa4427
臺北市政府環境保護局木柵垃圾焚化廠,200304,21163.9,5344.7,20329,2226.92,373.24,0,3391.5,945.48,27.877,1783.755,1800,1080,1500,562.5,0.000,wepa4059
嘉義市垃圾焚化廠,200303,7044.3,0,7208,1173.8,0,1250,1709.9,1145.2,66.974,1369.884,1419.5,68.5,300,0,0.000,wepi2617
高雄市政府環境保護局南區資源回收廠,200303,19855.9,16020.8,33110,6219.9,1544.426,21200,15920.16,12339.2,77.506,15562.86,2247,729,1800,0,0.000,wepe5641
高雄市仁武垃圾資源回收(焚化)廠,200301,17081.67,8455.84,19317,3863.35,722.67,11300,10892.6,8413.7,77.242,0,1037,1195,1350,4210.8,0.000,WEPS2225
新竹市垃圾資源回收廠,200303,12813.47,8999.98,16946,2775.32,602.98,7042.84,9071.12,7771.2,85.669,8113.735,999,489,900,2315.79,0.000,wepo1732
高雄市政府環境保護局中區資源回收廠,200303,23804.31,0,19438,2330.49,508,9800,5681.18,3119.4,54.907,4455.336,1478,754,900,0,0.000,wepe5004
高雄市岡山垃圾資源回收(焚化)廠,200303,22395.36,15334.35,35501,7100.156,1775.039,13633.4,19713.4,16059.8,81.466,16059.8,2026,206,1350,10306.26,0.000,weps1656
高雄市仁武垃圾資源回收(焚化)廠,200303,17566.38,10633.17,30402,6080.44,1216.09,12680,17033.85,13410.7,78.729,0,1553,679,1350,5193.99,0.000,weps2225
臺北市政府環境保護局木柵垃圾焚化廠,200303,18742.08,1217.05,16603,2027.38,323.79,23.58,3549.7,1623.26,45.729,1955.088,1467,1509,1500,0,0.000,wepa4059
臺北市政府環境保護局內湖垃圾焚化廠,200303,3846.76,6604.54,11776,1256.64,277.75,9338.4,2768.87,1268.85,45.825,1546,1488,744,900,0,0.000,wepa4244
臺南市城西垃圾焚化廠,200303,14007.64,3075.8,21763,3019.22,675.52,6189.3,10091.76,7872.48,78.009,9558.156,1488,0,900,0,0.000,wepd3244
高雄市政府環境保護局南區資源回收廠,200302,18099.1,12832.7,30660,5737.9,1304.237,22660,15720,12336,78.473,14680.66,2016,672,1800,0,0.000,wepe5641
嘉義市垃圾焚化廠,200302,6364.9,0,6778,740.175,246.725,1250,1592.6,1091.5,68.535,1299.579,1344,0,300,0,0.000,wepi2617
新北市八里垃圾焚化廠,200302,36146.5,0,40040,5327.24,1187.78,13140,19844.35,16285.61,82.066,16227.12,1971,45,1350,0,0.000,WEPF2314
彰化縣溪州垃圾焚化廠,200302,17526.04,1248.9,22189,3543.02,1374.09,11811,11293.9,8935,79.113,12039.67,1195,149,900,3519.43,0.000,wepn3259
